,invitation_code,qt1,qt2,qt3,qt4,qt5,qf1,qf2,qf3,qf4,qd1,qd2,qd3,qd4,qb1,qb2,qb3,qb4,qb5,qp1,qp2,qp3,qp4,qc1,qc2,qc3,qc4,cz,sdr,cf,ep,er,education_name,gender_name,stage_name,study,responsibility_name,stage_work_resp,industry_name,no_emp,age_name,country_name,area,Trust,Resilience,Diversity,Belief,Perfection,Collaboration,Comfort Zone,Innovation Zone,BII Score,school_name,before_after
0,pre-bmoe-f19-1,4,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,4,5,3,5,3,Bachelor's Degree,Male,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),94704.0,9.399999999999999,10.0,10.0,10.0,9.15625,10.0,10.0,10.0,9.793750000000001,CAL,Before
1,pre-bmoe-f19-1,4,5,4,4,2,5,4,2,4,5,4,3,4,4,5,5,5,2,5,4,4,1,5,5,4,3,1,3,2,2,2,Some College,Female,Still in school,"Health, Medical, & Social Sciences/Services",,,,,Under 29,United States of America (USA),94582.0,5.875000000000001,6.34375,7.1875,7.975,3.25,6.90625,1.0,1.9000000000000001,5.633928571428571,CAL,Before
2,pre-bmoe-f19-1,2,4,2,3,4,5,5,5,5,5,5,5,4,4,5,4,4,5,5,3,3,3,5,4,4,5,3,5,3,4,2,Bachelor's Degree,Female,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),408.0,3.8499999999999996,10.0,9.71875,8.95,4.9375,9.4375,7.0,7.6000000000000005,7.784821428571428,CAL,Before
3,pre-bmoe-f19-1,2,4,3,3,3,4,3,4,5,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,3,4,3,4,3,5,3,Some College,Male,Still in school,Finance,,,,,Under 29,United States of America (USA),914.0,4.675000000000001,7.1875,7.75,7.15,3.8125,7.46875,7.0,7.15,6.456249999999999,CAL,Before
4,pre-bmoe-f19-1,4,4,4,2,3,5,5,5,5,5,5,5,4,5,4,4,3,5,4,3,3,4,4,5,4,3,3,4,3,3,3,Bachelor's Degree,Female,Still in school,"Science, Technology, Engineering & Mathematics",,,,,Under 29,United States of America (USA),94704.0,6.699999999999999,10.0,9.71875,8.35,5.5,6.625,7.0,7.15,7.720535714285715,CAL,Before
5,pre-bmoe-f19-1,4,2,4,3,3,4,5,4,4,3,2,1,4,2,4,4,3,4,1,4,3,4,5,3,4,4,2,3,4,5,1,Some College,Male,Recently started career,,Employee (Hourly or Salaried),Expert or Senior,"Professional, Scientific, and Technical Services",14.0,Under 29,"Korea, Republic of (South Korea)",82.0,6.550000000000001,8.59375,3.25,7.074999999999999,6.625,7.75,4.0,4.300000000000001,6.3062499999999995,Unknown,Before
6,pre-bmoe-f19-1,4,2,4,2,2,5,5,4,5,5,5,5,5,4,5,5,5,4,3,4,4,3,5,5,3,2,3,5,4,3,4,PhD (or Beyond),Female,Well into career,,Employee (Hourly or Salaried),Expert or Senior,Educational Services,500.0,Over 40,Greece,30.0,7.75,9.15625,10.0,9.174999999999999,4.375,5.21875,7.0,7.6000000000000005,7.610714285714286,Unknown,Before
7,pre-bmoe-f19-1,1,3,5,2,2,5,5,4,5,5,4,4,5,5,4,5,4,5,3,2,3,4,4,4,3,3,3,5,4,5,3,Master's Degree (or Similar),Male,Well into career,,Employee (Hourly or Salaried),Professor,"Professional, Scientific, and Technical Services",3.0,Over 40,India,91.0,5.95,9.15625,8.3125,9.174999999999999,5.5,6.0625,7.0,7.6000000000000005,7.39375,Unknown,Before
8,pre-bmoe-f19-1,3,4,3,4,4,5,4,3,5,5,2,4,3,3,3,4,4,5,5,4,2,2,5,5,4,4,1,4,4,3,3,Some College,Female,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),94539.0,4.075,7.46875,6.0625,7.525,6.34375,8.3125,1.0,2.35,6.019642857142857,CAL,Before
9,pre-bmoe-f19-1,4,3,4,1,1,5,4,4,5,4,3,2,4,5,4,4,4,5,5,2,4,2,5,4,4,4,2,4,4,4,2,Bachelor's Degree,Male,Still in school,Business Management & Adminsistration,,,,,Under 29,United States of America (USA),,8.724999999999998,8.3125,5.21875,8.575,2.96875,8.03125,4.0,4.75,6.654464285714285,CAL,Before
